Subject_Code,Subject,Semester
OMC300A,Competitive Programming (Audit),3
OMC300B,Introduction to Software Engineering (Bridge),3
OMC301,Design and Analysis of Algorithms,3
OMC302,Mobile Application Development,3
OMC303,Artificial Intelligence and Machine Learning,3
OMC304A,Software Testing and Quality Assurance,3
OMC304B,Human-Computer Interaction,3
OMC304C,Theory of Computation and Compiler Construction,3
OMC304D,Operations Research,3
OMC305,Career Skills,3
OMC306,Mini Project/Research Seminar,3
OMC307,Design and Analysis of Algorithms Laboratory,3
OMC308,Mobile Application Development Laboratory,3
OMC309,Artificial Intelligence and Machine Learning Laboratory,3
